study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19856	SAMEA4698699	ERX2619113	ERR2602457	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602457/ERR2602457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602457/ERR2602457_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602457/S085_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602457/S085_F.2.fq.gz	
PRJEB19856	SAMEA4698700	ERX2619114	ERR2602458	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602458/ERR2602458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602458/ERR2602458_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602458/S099_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602458/S099_F.2.fq.gz	
PRJEB19856	SAMEA4698701	ERX2619115	ERR2602459	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2602459/ERR2602459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/009/ERR2602459/ERR2602459_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602459/S114_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602459/S114_F.2.fq.gz	
PRJEB19856	SAMEA4698702	ERX2619116	ERR2602460	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2602460/ERR2602460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/000/ERR2602460/ERR2602460_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602460/S122_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602460/S122_F.2.fq.gz	
PRJEB19856	SAMEA4698703	ERX2619117	ERR2602461	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2602461/ERR2602461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/001/ERR2602461/ERR2602461_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602461/S141_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602461/S141_F.2.fq.gz	
PRJEB19856	SAMEA4698704	ERX2619118	ERR2602462	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2602462/ERR2602462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/002/ERR2602462/ERR2602462_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602462/S171_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602462/S171_F.2.fq.gz	
PRJEB19856	SAMEA4698705	ERX2619119	ERR2602463	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602463/ERR2602463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2602463/ERR2602463_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602463/S195_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602463/S195_F.2.fq.gz	
PRJEB19856	SAMEA4698706	ERX2619120	ERR2602464	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602464/ERR2602464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/004/ERR2602464/ERR2602464_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602464/S215_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602464/S215_F.2.fq.gz	
PRJEB19856	SAMEA4698707	ERX2619121	ERR2602465	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602465/ERR2602465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/005/ERR2602465/ERR2602465_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602465/S217_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602465/S217_F.2.fq.gz	
PRJEB19856	SAMEA4698708	ERX2619122	ERR2602466	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602466/ERR2602466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/006/ERR2602466/ERR2602466_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602466/S235_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602466/S235_F.2.fq.gz	
PRJEB19856	SAMEA4698709	ERX2619123	ERR2602467	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602467/ERR2602467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/007/ERR2602467/ERR2602467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602467/S248_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602467/S248_F.2.fq.gz	
PRJEB19856	SAMEA4698710	ERX2619124	ERR2602468	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602468/ERR2602468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/008/ERR2602468/ERR2602468_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602468/S263_F.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2602468/S263_F.2.fq.gz	
PRJEB19856	SAMEA4698764	ERX2619659	ERR2603003	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603003/ERR2603003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/003/ERR2603003/ERR2603003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603003/G2761a.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR2603003/G2761a.2.fq.gz	
